file,sheet,supplier_guess,header_row_index,row_sample_count,mapped_fields,columns_detected,error
Tuerk Tech General Price List JULY 2025.xls,(error),Tuerk Tech General Price Li t JULY 2025,,,,0,Missing optional dependency 'xlrd'. Install xlrd >= 1.0.0 for Excel support Use pip or conda to install xlrd.
ACTIVE MUSIC DISTRIBUTION PRICELIST - AUGUST 2025.xlsx,August Pricelist v3,ACTIVE MUSIC DISTRIBUTION PRICELIST - AUGUST 2025,1.0,200.0,"cost_price, product_name",4,
MD External Stock 2025-08-25.xlsx,Sheet1,MD External Stock 2025-08-25,1.0,200.0,"cost_price, product_name, sku",4,
Audiosure StockFile 30072025.xlsx,Sheet1,Audio ure StockFile 30072025,0.0,200.0,"category, product_name",5,
ApexPro Distribution pricelist 25-04-2025 (1).xlsx,Sheet1,ApexPro Di tribution priceli t 25-04-2025 (1),0.0,46.0,"cost_price, product_name, sku, stock_on_hand, vat_rate",7,
Stage Audio Works SOH info_20250826_0247.xlsx,Data,Stage Audio Work  SOH info 20250826 0247,0.0,200.0,"cost_price, product_name, stock_on_hand",5,
Rolling Thunder July 2025 Pricelist .xlsx,Odyssey,Rolling Thunder July 2025 Priceli t,0.0,18.0,"product_name, vat_rate",10,
Rolling Thunder July 2025 Pricelist .xlsx,UDG,Rolling Thunder July 2025 Priceli t,0.0,44.0,"product_name, vat_rate",10,
Rolling Thunder July 2025 Pricelist .xlsx,Ortofon,Rolling Thunder July 2025 Priceli t,0.0,53.0,"product_name, vat_rate",10,
Rolling Thunder July 2025 Pricelist .xlsx,Hercules DJ ,Rolling Thunder July 2025 Priceli t,0.0,17.0,"product_name, vat_rate",10,
GLOBAL MUSIC SUGGESTED ONLINE ADVERTISED PRICELIST NOVEMBER 2024 SKU LIST FORMAT .xlsx,Sheet1,GLOBAL MUSIC SUGGESTED ONLINE ADVERTISED PRICELIST NOVEMBER 2024 SKU LIST FORMAT,2.0,200.0,"cost_price, sku",3,
Sennheiser 2025 (2).xlsx,17th June Full Run Out,Sennhei er 2025 (2),0.0,200.0,"cost_price, product_name",4,
Sennheiser 2025 (2).xlsx,Product Breakdown Best Sellers,Sennhei er 2025 (2),0.0,200.0,"cost_price, product_name, vat_rate",4,
Planetworld SOH 20 June.xlsx,Sheet1,Planetworld SOH 20 June,0.0,200.0,"category, product_name, stock_on_hand",6,
Rockit Price_List_25.08.2025.01.xlsx,Sheet1,Rockit Price Li t 25.08.2025.01,4.0,200.0,"product_name, vat_rate",4,
Tuerk Multimedia  Studio Price List_ JULY 2025.xlsx,ABLETON ,Tuerk Multimedia  Studio Price Li t  JULY 2025,11.0,18.0,"product_name, vat_rate",4,
Tuerk Multimedia  Studio Price List_ JULY 2025.xlsx,AUDIENT,Tuerk Multimedia  Studio Price Li t  JULY 2025,11.0,21.0,"product_name, stock_on_hand",6,
Tuerk Multimedia  Studio Price List_ JULY 2025.xlsx,Sheet1,Tuerk Multimedia  Studio Price Li t  JULY 2025,0.0,0.0,,0,
Tuerk Multimedia  Studio Price List_ JULY 2025.xlsx,Avid_ SIBELIUS,Tuerk Multimedia  Studio Price Li t  JULY 2025,3.0,24.0,category,2,
