"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"ADP-AES3-AU-2X2","AES3-AU-2X2","Audinate Dante AVIO AES3 IO Adapter 2X2 Ch","7","R 6,097.00"
"ADP-AVIO-A-2IN-EB","AVIO-A-2IN-EB","Audinate Dante AVIO Install Input Adapter 2 Ch","12","R 6,817.00"
"ADP-AVIO-A-2OUT-EB","AVIO-A-2OUT-EB","Audinate Dante AVIO Install Output Adapter 2 Ch","10","R 6,817.00"
"ADP-BT-AU-2X1","BT-AU-2X1","Audinate Dante AVIO Bluetooth IO Adapter 2x1","0","R 7,984.00"
"ADP-DAI-AU-1X0","DAI-AU-1X0","Audinate Dante AVIO Analog Input Adapter 1 Ch","18","R 4,869.00"
"ADP-DAI-AU-2X0","DAI-AU-2X0","Audinate Dante AVIO Analog Input Adapter 2 Ch","11","R 6,097.00"
"ADP-DAO-AU-0X1","DAO-AU-0X1","Audinate Dante AVIO Analog Output Adapter 1 Ch","11","R 4,869.00"
"ADP-DAO-AU-0X2","DAO-AU-0X2","Audinate Dante AVIO Analog Output Adapter 2 Ch","7","R 6,097.00"
"ADP-DVS-TK-RES","DVS-TK-RES","Audinate Dante Virtual Soundcard Software Token for Single Machine (Download) (Redeemable for Permanent DVS License)","30","R 875.00"
"ADP-DVS-VM-001","DVS-VM-001","Audinate DVS for Virtual Machines Dante Virtual Soundcard (Sold as Min 5 activation tokens) (Download)","0","R 12,128.00"
"ADP-USB-AU-2X2","USB-AU-2X2","Audinate Dante AVIO USB IO Adapter 2X2 Ch","18","R 4,869.00"
"ADP-USBC-AU-2X2","USBC-AU-2X2","Audinate Dante AVIO USBC IO Adapter 2x2","9","R 4,869.00"
"ADP-VIA-TK-001","VIA-TK-001","Audinate Dante Via Audio Networking Software Token for Single Machine (Download)","0","R 1,050.00"
"AID-CBL-RJ45","CBL-RJ45","Aida Imaging 8-Pin RS232 to Cross RJ45 Cable Connector Cable","0","R 338.00"
"AID-CCS-USB","CCS-USB","Aida Imaging VISCA Camera Control Unit & Software","0","R 3,936.00"
