"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"HER-BS200BCPLUS","PSABX0000158","Hercules Stands BS200BC PLUS Symphony Stand BS200B x12 pcs and Stand Cart BSC800 x1 pc","0","R 13,518.00"
"HER-BS200BPLUS","PSABX0000155","Hercules Stands BS200B PLUS Stage Series EZ Grip Symphony Stand","5","R 821.00"
"HER-BS223B","PSABX0000161","Hercules Stands BS223B Stage Series Symphony Stand","0","R 1,084.00"
"HER-BS243B","PSABX0000164","Hercules Stands BS243B Stage Series Fourscore Stand","0","R 1,570.00"
"HER-BS301B","PSABX0000092","Hercules Stands BS301B EZ Clutch Tripod Orchestra Stand w/ Foldable Desk","1","R 1,459.00"
"HER-BS311B","PSABX0000082","Hercules Stands BS311B EZ Clutch Tripod Orchestra Stand w/ Perforated Foldable Desk","36","R 1,459.00"
"HER-BS408BPLUS","PSABX0000170","Hercules Stands BS408B PLUS Orchestra Stand, Solid Desk","2","R 1,570.00"
"HER-DS410B","PSADX0000045","Hercules Stands DS410B TravLite Trumpet Stand","44","R 355.00"
"HER-DS420B","PSADX0000049","Hercules Stands DS420B TravLite Trombone Stand","41","R 973.00"
"HER-DS431B","PSADX0000106","Hercules Stands DS431B TravLite Alto SAX Stand","33","R 699.00"
"HER-DS432B","PSADX0000110","Hercules Stands DS432B TravLite Tenor SAX Stand","19","R 699.00"
"HER-DS530BB","PSADX0000080","Hercules Stands DS530BB Alto/Tenor SAX Stand w/ Bag","27","R 487.00"
"HER-DS531BB","PSADX0000084","Hercules Stands DS531BB Soprano SAX/ Flugelhorn Stand w/ Bag","56","R 416.00"
"HER-DS532BB","PSADX0000088","Hercules Stands DS532BB 1 Alto/Tenor SAX and 1 Clarinet/Flute Stand w/ Bag","10","R 557.00"
"HER-DS551B","PSADX0000129","Hercules Stands DS551B Sousaphone Stand","10","R 1,459.00"
"HER-DS552B","PSADX0000133","Hercules Stands DS552B Tuba/Euphonium Stand","16","R 1,317.00"
"HER-DS553B","PSADX0000137","Hercules Stands DS553B Tuba/Euphonium Performer Stand","10","R 1,266.00"
"HER-DS561B","PSADX0000152","Hercules Stands DS561B Bassoon/Bass Clarinet Stand","6","R 1,114.00"
"HER-DS562BB","PSADX0000156","Hercules Stands DS562BB Alto Flute Stand w/ Bag","27","R 466.00"
"HER-DS571BB","PSAGX0000178","Hercules Stands DS571BB TravLite Violin/Viola Stand w/ Bag","53","R 730.00"
"HER-DS753BB","PSADX0000222","Hercules Stands DS753BB 2-Way Low Brass Stand","0","R 1,874.00"
"HER-DS800B","PSASX0000039","Hercules Stands DS800B Percussion Table Stand","10","R 1,600.00"
"HER-GS302B","PSAGX0000118","Hercules Stands GS302B TravLite Electric Guitar Stand","98","R 375.00"
"HER-GS303B","PSAGX0000108","Hercules Stands GS303B TravLite Folk Instrument Stand","14","R 375.00"
"HER-GS401BB","PSAGX0000067","Hercules Stands GS401BB Mini Acoustic Guitar Stand w/ Bag","58","R 476.00"
"HER-GS402BB","PSAGX0000071","Hercules Stands GS402BB Mini Electric Guitar Stand w/ Bag","43","R 476.00"
"HER-GS405B","PSAGX0000098","Hercules Stands GS405B ShokSafe Guitar Stand","18","R 730.00"
"HER-GS415BPLUS","PSAGX0000202","Hercules Stands GS415B PLUS Auto Grip Guitar Stand w/ Foldable Yoke","6","R 750.00"
"HER-GS422BPLUS","PSAGX0000204","Hercules Stands GS422B PLUS Auto Grip Duo Guitar Stand w/ Foldable Backrest","18","R 1,205.00"
"HER-GS432BPLUS","PSAGX0000206","Hercules Stands GS432B PLUS Auto Grip Tri Guitar Stand w/ Foldable Backrest","4","R 1,570.00"
"HER-GS526BPLUS","PSAGX0000208","Hercules Stands GS526B PLUS 6-pc Auto Grip Guitar Stand","21","R 2,410.00"
"HER-GSB001","PSTZX0000037","Hercules Stands GSB001 Guitar Stand Bag","0","R 203.00"
"HER-GSP38WBKPLUS","PSAPX0000089","Hercules Stands GSP38WBK PLUS Auto Grip Guitar Hanger for Wall Mounting w/ Black Wood Base, Short Arm","53","R 294.00"
"HER-GSP38WBPLUS","PSAPX0000062","Hercules Stands GSP38WB PLUS Auto Grip Guitar Hanger for Wall Mounting w/ Wood Base, Short Arm","1825","R 294.00"
"HER-GSP402SB","PSAPX0000127","Hercules Stands GSP402SB 2 Guitar Wall Rack","0","R 993.00"
"HER-GSP403SB","PSAPX0000130","Hercules Stands GSP403SB 3 Guitar Wall Rack","0","R 1,692.00"
"HER-HA301","PSTZX0000045","Hercules Stands HA301 Narrow Instrument Neck Adjustment for AGS Yoke","0","R 82.00"
"HER-HA700","PSTAX0000060","Hercules Stands HA700 Guitar Strap/Headphone Holder","57","R 193.00"
