"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"SEN-509457","509457","Sennheiser LM 6070 Charging Module For 2x BA 70, For EW-D/EW-DP/EW-DX","11","R 2,797.00"
"SEN-509486","509486","Sennheiser MZC 1-1 GREY Small frequency cap for SL Headmic 1, grey","0","R 262.00"
"SEN-500198","500198","Sennheiser E 901 Semi Cardioid Condenser Instrument Microphone, For Bass Instruments","3","R 5,789.00"
"SEN-500199","500199","Sennheiser E 902 Dynamic Cardioid Instrument Microphone, For Bass Instruments","5","R 4,626.00"
"SEN-500200","500200","Sennheiser E 904 Dynamic Cardioid Instrument Microphone With Clamp, For Drums","4","R 4,626.00"
"SEN-500202","500202","Sennheiser E 906 Dynamic Super Cardioid Instrument Microphone","3","R 4,626.00"
"SEN-508763","508763","Sennheiser EW-D SKM-S Base Set (S1-7), Receiver, Handheld Transmitter, Without Capsule, 606.2-662MHz","62","R 13,934.00"
"SEN-508773","508773","Sennheiser EW-D ME2/835-S SET (S1-7), ME 2 Lapel, Bodypack & SKM-S 835 Transmitter, 606.2-662MHz","19","R 23,242.00"
"SEN-523874","523874","Sennheiser HD 25 - Straight Cable (1.5m)","0","R 440.00"
"SEN-525783","525783","Sennheiser IE 4 - Ear Adapter "S", black","0","R 178.00"
"SEN-525784","525784","Sennheiser IE 4 - Ear Adapter "M", black","0","R 178.00"
"SEN-525787","525787","Sennheiser HMD/ HME/ HD - Cable Clip 1 pc cable clip for round copper and coiled Broadcast cables","0","R 124.00"
"SEN-700248","700248","Sennheiser BTD 600 Bluetooth USB Dongle, USB-C to USB-A Adapter, Bluetooth 5.2 Compliant","3","R 790.00"
"SEN-700249","700249","Sennheiser IE 200 High-fidelity Earphones","16","R 2,799.00"
"SEN-700250","700250","Sonova MMCX BRAIDED CABLE 3.5MM PLUG","1","R 1,083.00"
"SEN-500540","500540","Sennheiser MZH 908 B Microphone Horn Clamp, For Brass Instruments","0","R 910.00"
"SEN-508676","508676","Sennheiser RS 175-U Digital TV Headphone System, HDR 175 Headphones, TR 175 Transmitter","14","R 4,999.00"
"SEN-508485","508485","Sennheiser XSW-D Lavalier Set, Mini Jack TX, XLR Male RX, ME2-II, USB-A to USB-C Charger, Belt-clip","6","R 8,814.00"
"SEN-508486","508486","Sennheiser XSW-D Pedalboard Set, Guitar Set, Pedalboard Receiver Power Supply","0","R 8,814.00"
"SEN-508488","508488","Sennheiser XSW-D Portable Lavalier Set, Mini Jack RX, Mini Jack TX, ME 2-II, Coiled Cable, USB Cable","4","R 7,073.00"
"SEN-508489","508489","Sennheiser XSW-D Portable Interview Set, XSW-D Mini Jack RX, XSW-D XLR Female TX, Hotshoe Mount","18","R 5,964.00"
"SEN-508490","508490","Sennheiser XSW-D Portable ENG Set Mini Jack RX, Mini Jack TX, XLR Female TX, ME 2-II, Coiled Cable","2","R 9,515.00"
"SEN-506195","506195","Sennheiser MK 8 Multi Pattern Condenser Microphone, XLR-3M","1","R 17,425.00"
"SEN-003224","003224","Sennheiser MZH 60-1 Hairy Cover","1","R 4,127.00"
"SEN-578850","578850","Sennheiser MZW 36 Windscreen for ME 36, black, with logo","0","R 226.00"
"SEN-578879","578879","Sennheiser HD 25 - Foam Disks 1 Pair of foam discs for ear pads HD 25","0","R 30.00"
"SEN-578880","578880","Sennheiser Spares - Earpads for HD 25, Velour, Black","0","R 444.00"
"SEN-578881","578881","Sennheiser Spares - Earpads for HD 25, Black","3","R 350.00"
"NEM-008502","008502","Neumann TLM 103-MT-STEREO Set each with 2x :   TLM 103 and EA 1, black","0","R 62,580.00"
"NEM-008503","008503","Neumann TLM 170 R-STEREO Set each with 2x  TLM 170 R and EA 170, nickel","0","R 156,246.00"
"SEN-508827","508827","Sennheiser MD 435 Dynamic Cardioid Handheld Microphone, XLR-3M","0","R 11,607.00"
"SEN-508828","508828","Sennheiser MD 445 Dynamic Super Cardioid Handheld Microphone, High Rejection, XLR-3M","2","R 11,607.00"
"SEN-508829","508829","Sennheiser MM 435 Dynamic Cardioid Microphone Module","2","R 11,607.00"
"NEM-006622","006622","Neumann IC 6-MT Microphone Cable","0","R 13,005.00"
"NEM-006624","006624","Neumann IC 5-MT Microphone cable, length:  10m, XLR-5F -> XLR-5M, black","0","R 8,444.00"
