"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"ADA-7115BLK","7115BLK","Adam Hall Cables 7115 BLK - Instrument Cable black","800","R 34.00"
"ADA-7510","7510","Adam Hall Connectors 7510 - 6.3mm Jack Plug  mono  Gold","144","R 79.00"
"ADA-7511","7511","Adam Hall Connectors 7511 - 6.3mm Jack Plug stereo gold","29","R 52.00"
"ADA-7514","7514","Adam Hall Connectors 7514 - 6.3mm Jack Plug mono","59","R 12.00"
"ADA-7540","7540","Adam Hall Connectors 7540 - Adapter mono RCA female to 6.3mm mono Jack male","29","R 13.00"
"ADA-7541","7541","Adam Hall Connectors 7541 - Adapter 6.3mm mono Jack female to mono RCA male","25","R 48.00"
"ADA-7545","7545","Adam Hall Connectors 7545 - Y-Adapter 2 x 3.5mm stereo Jack female to 6.3mm stereo","25","R 71.00"
"ADA-7546","7546","Adam Hall Connectors 7546 - Y-Adapter 2 x 6.3mm stereo Jack female to 6.3mm stereo","134","R 50.00"
"ADA-7549","7549","Adam Hall Connectors 7549 - Y-Connector 2 x mono RCA female to 6.3mm stereo Jack male","90","R 09.00"
"ADA-7550","7550","Adam Hall Connectors 7550 - Y-Connector 2 x mono RCA female to 3.5mm stereo Jack male","317","R 08.00"
"ADA-7551","7551","Adam Hall Connectors 7551 - Adapter 6.3mm stereo Jack female to 6.3mm stereo Jack","45","R 51.00"
"ADA-7552","7552","Adam Hall Connectors 7552 - Adapter 2 x mono RCA female to 2 x mono RCA female","45","R 49.00"
"ADA-7556","7556","Adam Hall Connectors 7556 - Y-Adapter 2 x stereo Jack 3.5mm female to stereo Jack 3.5mm male","237","R 06.00"
"ADA-7853","7853","Adam Hall Connectors 7853 - Adapter 6.3mm Jack stereo female to XLR M","262","R 29.00"
"ADA-7855","7855","Adam Hall Connectors 7855 - Adapter 6.3mm Jack stereo male to XLR M","24","R 28.00"
"ADA-7856","7856","Adam Hall Connectors 7856 - Adapter 6.3mm Jack stereo male to XLR F","123","R 28.00"
"ADA-7857","7857","Adam Hall Connectors 7857 - Adapter RCA female to XLR M","4","R 109.00"
"ADP-DAI-AU-2X0","DAI-AU-2X0","Audinate Dante AVIO Analog Input Adapter 2 Ch","11","R 6,097.00"
"ADP-DAO-AU-0X1","DAO-AU-0X1","Audinate Dante AVIO Analog Output Adapter 1 Ch","11","R 4,869.00"
"ADP-DAO-AU-0X2","DAO-AU-0X2","Audinate Dante AVIO Analog Output Adapter 2 Ch","7","R 6,097.00"
"ADP-DVS-TK-RES","DVS-TK-RES","Audinate Dante Virtual Soundcard Software Token for Single Machine (Download) (Redeemable for Permanent DVS License)","30","R 875.00"
"ADP-DVS-VM-001","DVS-VM-001","Audinate DVS for Virtual Machines Dante Virtual Soundcard (Sold as Min 5 activation tokens) (Download)","0","R 12,128.00"
"ADP-USB-AU-2X2","USB-AU-2X2","Audinate Dante AVIO USB IO Adapter 2X2 Ch","18","R 4,869.00"
"ADP-USBC-AU-2X2","USBC-AU-2X2","Audinate Dante AVIO USBC IO Adapter 2x2","9","R 4,869.00"
"ADP-VIA-TK-001","VIA-TK-001","Audinate Dante Via Audio Networking Software Token for Single Machine (Download)","0","R 1,050.00"
"AID-CBL-RJ45","CBL-RJ45","Aida Imaging 8-Pin RS232 to Cross RJ45 Cable Connector Cable","0","R 338.00"
"AID-CCS-USB","CCS-USB","Aida Imaging VISCA Camera Control Unit & Software","0","R 3,936.00"
"AID-CCU-IP","CCU-IP","Aida Imaging VISCA Serial and IP PTZ Camera Controller","0","R 12,061.00"
"AID-CCU-MINI","CCU-MINI","Aida Imaging Compact VISCA Serial and IP PTZ Camera Controller","0","R 7,188.00"
"AID-CS-0550V","CS-0550V","Aida Imaging HD Varifocal 5.0-50mm Manual Iris CS Mount Lens","1","R 3,262.00"
"AID-CS-12.0F","CS-12.0F","Aida Imaging 12mm HD CS Mount Lens","0","R 825.00"
"AID-CS-2812V","CS-2812V","Aida Imaging HD Varifocal 2.8-12mm Manual Iris CS Mount Lens","0","R 3,262.00"
"AID-CS4K-3611V","CS4K-3611V","Aida Imaging 4K Varifocal 3.6~11mm Auto-DC Iris CS Mount Lens","0","R 3,936.00"
"AID-CS4K-5.0F","CS4K-5.0F","Aida Imaging 4K 5mm HFOV 66 Manual Focus CS Mount Lens","0","R 2,062.00"
"AID-CS-6.0F","CS-6.0F","Aida Imaging 6mm HD CS Mount Lens","0","R 825.00"
"AID-CS-8.0F","CS-8.0F","Aida Imaging 8mm 5Mega Pixel CS Mount Lens","0","R 825.00"
"AID-GCON-HDMI","GCON-HDMI","Aida Imaging HDMI Genlock converter w/ Active Loop Out","0","R 11,621.00"
"AID-GCON-SDI","GCON-SDI","Aida Imaging SDI Genlock converter w/ Active Loop Out","0","R 11,621.00"
"AID-GEN3G-IPC-200","GEN3G-IPC-200","Aida Imaging FHD Genlock 3G-SDI/HDMI with IP Control POV Camera","0","R 19,371.00"
"AID-HD-100A","HD-100A","Aida Imaging FHD HDMI POV Camera (Multi HD Format) with TRS Sterio Audio Input","0","R 7,123.00"
"AID-HD-100A-IP67","HD-100A-IP67","Aida Imaging FHD HDMI POV Weatherproof Camera with TRS Sterio Audio Input","0","R 8,528.00"
"AID-HD3G-IPC-100A","HD3G-IPC-100A","Aida Imaging FHD 3G-SDI with IP Control POV Camera","0","R 9,137.00"
"AID-HD3G-IPC-IP67","HD3G-IPC-IP67","Aida Imaging FHD 3G-SDI with IP Control Weatherproof IP67 POV Camera","0","R 9,625.00"
"AID-HD3G-IPC-MINI","HD3G-IPC-MINI","Aida Imaging FHD 3G-SDI with IP Control, Lipstick Weatherproof IP67 POV Camera","0","R 9,625.00"
"AID-HD3G-IPC-TF","HD3G-IPC-TF","Aida Imaging FHD 3G-SDI with IP Control, Varifocal Lens 05-50mm Weatherproof IP54 POV Camera","0","R 11,574.00"
"AID-HD3G-NDI-200","HD3G-NDI-200","Aida Imaging FHD NDI|HX/IP/SRT/3G-SDI PoE and IP Control POV Camera","0","R 12,061.00"
"AID-HD-NDI-200","HD-NDI-200","Aida Imaging FHD NDI|HX/HDMI/IP PoE POV Camera","1","R 10,946.00"
"AID-HD-NDI3-120","HD-NDI3-120","Aida Imaging FHD 120fps NDI |HX3/IP/SRT/HDMI PoE POV Camera","0","R 18,209.00"
"AID-HD-NDI3-IP67","HD-NDI3-IP67","Aida Imaging FHD 120fps NDI |HX3/IP/SRT PoE Weatherproof POV Camera","0","R 19,465.00"
"AID-HD-NDI-CUBE","HD-NDI-CUBE","Aida Imaging FHD NDI|HX/IP POV Camera","0","R 9,625.00"
"AID-HD-NDI-IP67","HD-NDI-IP67","Aida Imaging FHD NDI|HX/IP Weatherproof POV Camera","0","R 9,625.00"
"AID-HD-NDI-MINI","HD-NDI-MINI","Aida Imaging FHD NDI|HX/IP Weatherproof Cylinder POV Camera","0","R 9,625.00"
"AID-HD-NDI-TF","HD-NDI-TF","Aida Imaging FHD NDI|HX/SRT/IP PoE Weatherproof IP54 POV Camera with 05-50mm Varifocal Lens","0","R 11,574.00"
"AID-HD-NDI-VF","HD-NDI-VF","Aida Imaging FHD NDI |HX/IP/SRT PoE Weatherproof Vaifocal Lens 2.8-12mm POV Camera","0","R 11,574.00"
"AID-HD-NDI-X20","HD-NDI-X20","Aida Imaging FHD NDI|HX/IP/SRT/HDMI PoE 20X Zoom POV Camera","0","R 16,934.00"
"AID-HD-X3L-IP67","HD-X3L-IP67","Aida Imaging FHD Weatherproof 3G-SDI 3.5X Optical Zoom POV Camera","0","R 12,061.00"
"AID-IPCOMM-POE","IPCOMM-POE","Aida Imaging Portable Wireless Video & Control Transmitter with PoE+ Injection / NPF Battery Support (NPF Battery not included)","0","R 6,701.00"
"AID-M12-6.0F","M12-6.0F","Aida Imaging 6.0mm HD Megapixel M12 Mount Lens for AIDA HD-NDI-MINI","0","R 550.00"
"AID-PTZ4K12G-FNDI-X30B","PTZ4K12G-FNDI-X30B","Aida Imaging Broadcast/Conference 4K Full Bandwidth NDI 12G & 3G-SDI/HDMI/USB/SRT/IP/NDI HX/HX3, Auto-tracking, FreeD, Genlock, SFP+, XLR, SD recording, 30X Zoom PTZ Camera in Black","0","R 85,279.00"
"AID-PTZ4K12G-FNDI-X30W","PTZ4K12G-FNDI-X30W","Aida Imaging Broadcast/Conference 4K Full Bandwidth NDI 12G & 3G-SDI/HDMI/USB/SRT/IP/NDI HX/HX3, Auto-tracking, FreeD, Genlock, SFP+, XLR, SD recording, 30X Zoom PTZ Camera in White","0","R 85,279.00"
"AID-PTZ4K-NDI-X12B","PTZ4K-NDI-X12B","Aida Imaging Broadcast/Conference NDI |HX 4K NDI/IP/SRT/HDMI PoE PTZ Camera 12X Zoom Black","0","R 42,570.00"
"AID-PTZ4K-NDI-X12W","PTZ4K-NDI-X12W","Aida Imaging Broadcast/Conference NDI |HX 4K NDI/IP/SRT/HDMI PoE PTZ Camera 12X Zoom White","0","R 42,570.00"
"AID-PTZ4K-NDI-X30B","PTZ4K-NDI-X30B","Aida Imaging Broadcast/Conference NDI|HX 4K NDI/IP/HDMI PTZ Camera 30X Zoom Black","0","R 50,105.00"
"AID-PTZ4K-NDI-X30W","PTZ4K-NDI-X30W","Aida Imaging Broadcast/Conference NDI|HX 4K NDI/IP/HDMI PTZ Camera 30X Zoom White","0","R 50,105.00"
"AID-PTZ-NDI3-X20B","PTZ-NDI3-X20B","Aida Imaging Broadcast/Conference NDI |HX3 120fps FHD NDI/IP/SRT/HDMI PoE PTZ Camera 20X Zoom Black","0","R 36,417.00"
"AID-PTZ-NDI3-X20W","PTZ-NDI3-X20W","Aida Imaging Broadcast/Conference NDI |HX3 120fps FHD NDI/IP/SRT/HDMI PoE PTZ Camera 20X Zoom White","0","R 36,417.00"
