SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
ACCHYB005;HYBRID;TOPHAT-M20;Metal top hat with M20 thread for sub-bass poles;199;1+;165
ACCHYB007;HYBRID;GC01;Guitar capo- zinc / stainless steel with silicone teeth;90;1+;75
ACCHYB008;HYBRID;SML01;Sheet music LED clip-on light;215;1+;179
ACCHYB009;HYBRID;HMW5 CHARCOAL;5 pc microphone windshields- carcoal in colour;76;1+;63
ACCHYB010;HYBRID;HMW5 RASTAFARI;5 pc microphone windshields- 5 different colours;76;1+;63
ACCHYB011;HYBRID;MH01;"Shock mount microphone holder Application: suitable for most studio condenser mics Clamping diameter: 43mm - 49mm Coupling thread: 5/8"" with a 3/8"" adapter Material: Aliuminium- moulded ABS- durable elastic cord";209;1+;174
ACCHYB013;HYBRID;TP260;Musicians Shelve (Clip-on to sheet music / mic stand);162;1+;135
ACTHYB001;HYBRID;CX223;2 way stereo- 3 way mono analogue active crossover with mono sub-bass output;1481;<1;1234
ACTHYB002;HYBRID;CX234;3 way stereo- 4 way mono analogue active crossover;1837;1+;1530
ADACEL001;HYBRID;"SCREW(HF)-BOLT(FL)-1""";"1"" screw-in HF driver to bolt-on flare adaptor";35;1+;29
ADAHYB001;HYBRID;"BOLT(HF)-SCREW(FL)-1""";"1"" bolt-on HF driver to screw-in flare adaptor";327;1+;272
AMPAUD027;AUDIOCENTER;PD1000;"Quad channel power amplifier 4 x 1200W /8Ω - 4 x 1850W /4Ω- Class H circuitry with LPF/HPF crossover switching DC- short circuit- soft start- limiter overload- thermal overload protection 19"" / 2U rack mount- forced air cooling- 27kg";14307;<1;11922
AMPAUD028;AUDIOCENTER;CT1200;Stereo power amplifier- 2 x 600W / 4Ω- with selectable LPF / HPF switch- 2U;5971;1+;4975
AMPAUD029;AUDIOCENTER;CT2400;Stereo power amplifier- 2 x 1200W / 4Ω- with selectable LPF / HPF switch- 2U;7608;1+;6340
AMPAUD030;AUDIOCENTER;CT3600;Stereo power amplifier- 2 x 1800W / 4Ω- with selectable LPF / HPF switch- 2U;9660;1+;8050
AMPHYB001;HYBRID;B8000;Stereo power amplifier- 2 x 4000W/2Ω- XLR inputs / link thru- speakon outputs- 3U;13674;1+;11395
AMPHYB024;HYBRID;PA30DC;Public add amp- in:(mic- line & MP3/Bluetooth)- out: 8Ω / 100V- 20W- 12V battery;1064;1+;886
AMPHYB025;HYBRID;PA30M;Public add amp- inputs:(mic- line & MP3/Bluetooth)- outputs: 8Ω / 100V- 20W;791;<1;659
AMPHYB026;HYBRID;PA100M;Public add amp- in:(2x mic-line & MP3/Bluetooth)- out: 8Ω/70V/100V- 2 zone- 100W;1937;<1;1614
AMPHYB027;HYBRID;PA150M;Public add amp- in:(2x mic-line & MP3/Bluetooth)- out: 8Ω/70V/100V- 2 zone- 150W;2117;<1;1764
AMPHYB028;HYBRID;IA200;Installation stereo ch amplifier- 2 x 250W/4Ω- 3 x Inputs- media player- bass & treble;3122;0;2601
AMPHYB029;HYBRID;IA400;Installation stereo ch amplifier- 2 x 550W/4Ω- 3 x Inputs- media player- bass & treble;4230;1+;3525
AMPHYB030;HYBRID;PA280DC;Public add amp- in:(2x mic-line & MP3/Bluetooth)- out: 8Ω/100V- 2 x 65W-12V batt;1947;<1;1622
AMPHYB043;HYBRID;A1800MK6;Stereo power amplifier- 2 x 900W/4Ω with DSP- XLR inputs / link thru- speakon outs;7935;1+;6612
AMPHYB044;HYBRID;A2400MK6;Stereo power amplifier- 2 x 1200W/4Ω with DSP- XLR inputs / link thru- speakon outs;8323;1+;6935
AMPHYB045;HYBRID;A4000MK6;Stereo power amplifier- 2 x 2000W/4Ω with DSP- XLR inputs / link thru- speakon outs;11234;1+;9361
AMPHYB051;HYBRID;B1200 MK6;Stereo power amplifier- 2 x 600W/4Ω- XLR inputs / link thru- speakon outputs- 2U;5686;1+;4738
AMPHYB052;HYBRID;B1800 MK6;Stereo power amplifier- 2 x 90W/4Ω- XLR inputs / link thru- speakon outputs- 2U;6969;1+;5807
AMPHYB053;HYBRID;B2400 MK6;Stereo power amplifier- 2 x 1200W/4Ω- XLR inputs / link thru- speakon outputs- 2U;7342;1+;6118
AMPHYB054;HYBRID;B4000 MK6;Stereo power amplifier- 2 x 2000W/4Ω- XLR inputs / link thru- speakon outputs- 2U;10156;1+;8463
AMPHYB055;HYBRID;PA80DC;Public add amp- in:(2 x mic- line & MP3/Bluetooth)- out: 8Ω / 100V- 65W- 12V battery;1390;1+;1158
AMPHYB056;HYBRID;PA240MKII;Public add amp- in:4xmic-2 xline & MP3/Bluetooth- out: 8Ω/70V/100V- 4 zone- 240W;3231;<1;2692
AMPHYB057;HYBRID;PA360MKII;Public add amp- in:4xmic-2 xline & MP3/Bluetooth- out: 8Ω/70V/100V- 4 zone- 360W;3500;1+;2916
AMPHYB058;HYBRID;PA500MKII;Public add amp- in:4xmic-2 xline & MP3/Bluetooth- out: 8Ω/70V/100V- 4 zone- 500W;4259;1+;3549
AMPHYB059;HYBRID;PA600MKII;Public add amp- in:4xmic-2 xline & MP3/Bluetooth- out: 8Ω/70V/100V- 4 zone- 600W;4526;1+;3771
BATHYB001;HYBRID;U-SV/U-DV MK3 BATT;Replacement lithium battery for all handhelds of U-SV MK3 & U-DV MK3 variations;76;1+;63
