SKU,Product Name,Brand,Product ID,Suggested Supplier 1,Supplier 1 ID,Confidence 1,Reason 1,Suggested Supplier 2,Supplier 2 ID,Confidence 2,Reason 2
ADA-7115BLK,"Adam Hall Cables 7115 BLK - Instrument Cable black",,7316c58b-9b98-4707-8a49-ab4153248aaf,,,,"",,,,""
ADA-7510,"Adam Hall Connectors 7510 - 6.3mm Jack Plug  mono  Gold",,1dcbae23-88b3-499e-a93d-7740f5526815,,,,"",,,,""
ADA-7511,"Adam Hall Connectors 7511 - 6.3mm Jack Plug stereo gold",,64167aa7-0050-4fa1-a09a-607ec07e54ed,,,,"",,,,""
ADA-7514,"Adam Hall Connectors 7514 - 6.3mm Jack Plug mono",,08a12929-59ea-45b1-80ef-eb3438444058,,,,"",,,,""
ADA-7540,"Adam Hall Connectors 7540 - Adapter mono RCA female to 6.3mm mono Jack male",,4ebac250-f09a-4717-87c5-49486cdd40b3,,,,"",,,,""
ADA-7541,"Adam Hall Connectors 7541 - Adapter 6.3mm mono Jack female to mono RCA male",,6a5b3531-6b85-4fd7-afd5-7893676cb558,,,,"",,,,""
ADA-7545,"Adam Hall Connectors 7545 - Y-Adapter 2 x 3.5mm stereo Jack female to 6.3mm stereo",,44aaa598-b657-422f-89c8-00828a60ff1a,,,,"",,,,""
ADA-7546,"Adam Hall Connectors 7546 - Y-Adapter 2 x 6.3mm stereo Jack female to 6.3mm stereo",,7d7f801d-06c1-4014-8f0b-22fbabae32f7,,,,"",,,,""
ADA-7549,"Adam Hall Connectors 7549 - Y-Connector 2 x mono RCA female to 6.3mm stereo Jack male",,322b639e-b8a0-43a9-aaa5-2fdbdd81661e,,,,"",,,,""
ADA-7550,"Adam Hall Connectors 7550 - Y-Connector 2 x mono RCA female to 3.5mm stereo Jack male",,22b025fe-eaf6-4891-8d0c-458204b11adb,,,,"",,,,""
ADA-7551,"Adam Hall Connectors 7551 - Adapter 6.3mm stereo Jack female to 6.3mm stereo Jack",,12b0f37b-2c9d-4ba7-9cee-70e904bacb6d,,,,"",,,,""
ADA-7552,"Adam Hall Connectors 7552 - Adapter 2 x mono RCA female to 2 x mono RCA female",,86b23f77-4463-4608-8e33-fc4ceb7470b2,,,,"",,,,""
ADA-7556,"Adam Hall Connectors 7556 - Y-Adapter 2 x stereo Jack 3.5mm female to stereo Jack 3.5mm male",,9600c851-63a6-48e0-9de1-0ff8491926c1,,,,"",,,,""
ADA-7853,"Adam Hall Connectors 7853 - Adapter 6.3mm Jack stereo female to XLR M",,7f003332-99ae-4596-a6c0-c2d1650ef42e,,,,"",,,,""
ADA-7855,"Adam Hall Connectors 7855 - Adapter 6.3mm Jack stereo male to XLR M",,e913cd72-17c6-405c-b8b4-d64cdac83972,,,,"",,,,""
ADA-7856,"Adam Hall Connectors 7856 - Adapter 6.3mm Jack stereo male to XLR F",,32f5aec8-b1c9-4957-a42f-27b972e6f80b,,,,"",,,,""
